Component,Comment,Designator,Footprint,LCSC Part #
1,100nF@50V,"C3,C10",C_0402_1005Metric,C307331
2,10uF@50V,"C1,C51,C54,C61,C66,C67,C85,C88,C91,C94,C97",C_1206_3216Metric,C13585
3,220uF@80V,"C64,C65",CP_Radial_D10.0mm_P5.00mm,C106516
4,22pF/50V,C76,C_0603_1608Metric,C1653
5,22uF/25V,"C21,C35",C_0805_2012Metric,C45783
6,LED GREEN,"D31,D36",LED_0805_2012Metric,C2297
7,SMBJ40CA,D1,D_SMB,C84730
8,SS14,D4,D_SMA,C2480
9,VS-2EFH02HM3/I,D22,D_SMF,C241868
10,Conn_01x02,J42,AMASS_XT30U-M_1x02_P5.0mm_Vertical,C99101
11,Conn_01x05,J18,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991
12,Conn_02x03_Odd_Even,J36,PinHeader_2x03_P2.54mm_Vertical,C5383104
13,Screw_Terminal_01x02,J39,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",C557665
14,Screw_Terminal_01x03,J22,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",C557666
15,47uH,L5,L_Sunlord_SWPA5040S,C86617
16,150R,R43,R_0603_1608Metric,C22808
17,1k,"R45,R64",R_0805_2012Metric,C17513
18,22k,R17,R_0603_1608Metric,C31850
19,100k,R9,R_0402_1005Metric,C25741
20,120k,R10,R_0603_1608Metric,C25808
21,2.54mm 1x5 socket,U39,Dummy,C7509517
22,2.54mm 1x6 socket,"U30,U33",Dummy,C7509518
23,2.54mm 1x9 socket,U36,Dummy,C7509520
24,2.54mm 2x2 socket,"U18,U21,U24",Dummy,C92273
25,LV2862XDDC,U28,SOT-23-6,C3200285
