Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF@50V","C_1206_3216Metric",61.4975,-77.4525,270.0000,top
"C3","100nF@50V","C_0402_1005Metric",60.8500,-72.6500,90.0000,top
"C10","100nF@50V","C_0402_1005Metric",68.1975,-76.6525,90.0000,top
"C21","22uF/25V","C_0805_2012Metric",70.1475,-81.8025,90.0000,top
"C35","22uF/25V","C_0805_2012Metric",61.6475,-81.8025,90.0000,top
"C64","220uF@80V","CP_Radial_D10.0mm_P5.00mm",59.3823,-114.5000,0.0000,top
"C65","220uF@80V","CP_Radial_D10.0mm_P5.00mm",59.3823,-103.2500,0.0000,top
"C67","10uF@50V","C_1206_3216Metric",68.7500,-55.1500,90.0000,top
"C76","22pF/50V","C_0603_1608Metric",78.8000,-89.7000,90.0000,top
"C97","10uF@50V","C_1206_3216Metric",56.0000,-55.1500,90.0000,top
"D1","SMBJ40CA","D_SMB",61.3500,-94.7500,0.0000,top
"D4","SS14","D_SMA",69.5000,-91.7500,0.0000,top
"D22","VS-2EFH02HM3/I","D_SMF",70.1475,-77.2025,90.0000,top
"D31","LED GREEN","LED_0805_2012Metric",76.0000,-32.9000,0.0000,top
"D36","LED GREEN","LED_0805_2012Metric",69.0000,-111.5000,90.0000,top
"J18","Conn_01x05","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",71.5000,-106.5000,90.0000,top
"J22","Screw_Terminal_01x03","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",67.5000,-33.0000,180.0000,top
"J36","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",48.3000,-32.7250,0.0000,top
"J39","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",49.6950,-93.9550,270.0000,top
"J42","Conn_01x02","AMASS_XT30U-M_1x02_P5.0mm_Vertical",47.9000,-105.7500,0.0000,top
"L5","47uH","L_Sunlord_SWPA5040S",65.8475,-80.7025,270.0000,top
"R9","100k","R_0402_1005Metric",62.0475,-72.6525,90.0000,top
"R10","120k","R_0603_1608Metric",64.6475,-72.4525,0.0000,top
"R17","22k","R_0603_1608Metric",67.8975,-72.4525,0.0000,top
"R43","150R","R_0603_1608Metric",70.6500,-84.8000,0.0000,top
"R45","1k","R_0805_2012Metric",76.0000,-35.1000,180.0000,top
"R64","1k","R_0805_2012Metric",69.0000,-115.2500,270.0000,top
"U18","2.54mm 2x2 socket","Dummy",54.7500,-43.4000,0.0000,top
"U21","2.54mm 2x2 socket","Dummy",69.7500,-43.4000,0.0000,top
"U24","2.54mm 2x2 socket","Dummy",61.7500,-43.4000,0.0000,top
"U28","LV2862XDDC","SOT-23-6",65.1475,-75.3525,0.0000,top
"U30","2.54mm 1x6 socket","Dummy",49.7500,-48.4000,90.0000,top
"U33","2.54mm 1x6 socket","Dummy",74.7500,-48.4000,90.0000,top
"U36","2.54mm 1x9 socket","Dummy",49.7500,-77.4000,90.0000,top
"U39","2.54mm 1x5 socket","Dummy",74.7500,-82.4000,90.0000,top
